Key,Value/Type,Value/CraftItemId,Value/CraftValue,Value/RankMin,Value/RankMax,Value/Ingredient1Id,Value/Ingredient1Total,Value/Ingredient2Id,Value/Ingredient2Total,Value/Ingredient3Id,Value/Ingredient3Total,Value/Ingredient4Id,Value/Ingredient4Total,Value/OpenKeyRecipeID,Value/openCondition,Value/openParameter,Value/firstTimeBonusSpecialEffectId,Value/Alkhahest,Value/FirstBonusType/0,Value/FirstBonusType/1,Value/FirstBonusType/2,Value/FirstBonusType/3,Value/FirstBonusType/4,Value/FirstBonusType/5,Value/FirstBonusType/6,Value/FirstBonusType/7,Value/FirstBonusType/8,Value/FirstBonusValue/0,Value/FirstBonusValue/1,Value/FirstBonusValue/2,Value/FirstBonusValue/3,Value/FirstBonusValue/4,Value/FirstBonusValue/5,Value/FirstBonusValue/6,Value/FirstBonusValue/7,Value/FirstBonusValue/8
Potion,ECraftType::Craft,Potion,1,0,0,BatFeather,1,MeltedBone,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
Ether,ECraftType::Craft,Ether,1,0,0,Giantrattail,1,MonsterBirdTears,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
HighPotion,ECraftType::Craft,HighPotion,1,0,0,Potion,4,None,0,None,0,None,0,ItemRecipe001,EPBCraftRequirement::None,0,None,4,,,,,,,,,,,,,,,,,,
HighEther,ECraftType::Craft,HighEther,1,0,0,Ether,4,None,0,None,0,None,0,ItemRecipe001,EPBCraftRequirement::None,0,None,4,,,,,,,,,,,,,,,,,,
ExPotion,ECraftType::Craft,ExPotion,1,0,0,HighPotion,4,Panacea,3,None,0,None,0,ItemRecipe002,EPBCraftRequirement::None,0,None,8,,,,,,,,,,,,,,,,,,
ExEther,ECraftType::Craft,ExEther,1,0,0,HighEther,4,Panacea,3,None,0,None,0,ItemRecipe002,EPBCraftRequirement::None,0,None,8,,,,,,,,,,,,,,,,,,
HolyWater,ECraftType::Craft,HolyWater,1,0,0,MonsterBirdTears,1,Halite,5,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
Mithridate,ECraftType::Craft,Mithridate,1,0,0,MonsterBirdTears,1,Poisontoadeye,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
Stonethaw,ECraftType::Craft,Stonethaw,1,0,0,MonsterBirdTears,1,MeltedBone,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
Panacea,ECraftType::Craft,Panacea,1,0,0,HolyWater,1,Mithridate,1,Stonethaw,1,None,0,None,EPBCraftRequirement::None,0,None,3,,,,,,,,,,,,,,,,,,
Poison,ECraftType::Craft,Poison,1,0,0,MonsterBirdTears,1,TytaniaPoisonedNeedle,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,2,,,,,,,,,,,,,,,,,,
FaerieMedicine,ECraftType::Craft,FaerieMedicine,1,0,0,Potion,1,FairyPowder,1,None,0,None,0,ItemRecipe003,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
FaerieElixir,ECraftType::Craft,FaerieElixir,1,0,0,HighPotion,1,FairyPowder,1,None,0,None,0,ItemRecipe003,EPBCraftRequirement::None,0,None,5,,,,,,,,,,,,,,,,,,
FaerieAllheal,ECraftType::Craft,FaerieAllheal,1,0,0,ExPotion,1,FairyPowder,1,None,0,None,0,ItemRecipe003,EPBCraftRequirement::None,0,None,9,,,,,,,,,,,,,,,,,,
FaeriePanacea,ECraftType::Craft,FaeriePanacea,1,0,0,Panacea,1,FairyPowder,1,None,0,None,0,ItemRecipe003,EPBCraftRequirement::None,0,None,4,,,,,,,,,,,,,,,,,,
Gunpowder,ECraftType::Craft,Gunpowder,3,0,0,Sulfur,1,Saltpeter,1,None,0,None,0,None,EPBCraftRequirement::None,0,None,1,,,,,,,,,,,,,,,,,,
Gold,ECraftType::Craft,Gold,1,0,0,Mercury,10,DarkMatter,3,None,0,None,0,None,EPBCraftRequirement::None,0,None,7,,,,,,,,,,,,,,,,,,
ShortSword,ECraftType::Craft,ShortSword,1,0,0,Bronze,2,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
LongSword,ECraftType::Craft,LongSword,1,0,0,Iron,3,Bronze,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
WolfBalt,ECraftType::Craft,WolfBalt,1,0,0,LongSword,1,Obsidian,2,DemonDogSkin,2,None,0,ArmsRecipe004,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Halper,ECraftType::Craft,Halper,1,0,0,WolfBalt,1,Steel,2,None,0,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
invisible,ECraftType::Craft,invisible,1,0,0,Ectoplasm,4,Steel,3,Silver,1,Mercury,3,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Mulgres,ECraftType::Craft,Mulgres,1,0,0,Gargoyledebris,1,DamascusSteel,2,Mithril,1,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Burtgang,ECraftType::Craft,Burtgang,1,0,0,Mimicshell,1,Platinum,2,Clystal,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Flagarach,ECraftType::Craft,Flagarach,1,0,0,deathBringerDebris,1,Gold,2,HolyWater,7,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Hoffdo,ECraftType::Craft,Hoffdo,1,0,0,deathBringerDebris,1,Gold,2,Gusionfang,2,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Dineslave,ECraftType::Craft,Dineslave,1,0,0,Hoffdo,1,Dragonclaw,1,DarkMatter,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Florenberg,ECraftType::Craft,Florenberg,1,0,0,Hoffdo,1,Marbasfang,1,Bixbite,1,Flamering,1,ArmsRecipe019,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Armas,ECraftType::Craft,Armas,1,0,0,Hoffdo,1,Marbasfang,1,Diamond,1,Icering,1,ArmsRecipe019,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Caradoborg,ECraftType::Craft,Caradoborg,1,0,0,Hoffdo,1,Marbasfang,1,Emerald,3,Thunderring,1,ArmsRecipe019,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Liddyl,ECraftType::Craft,Liddyl,1,0,0,Florenberg,1,Armas,1,Caradoborg,1,AbyssguardianHeart,1,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Broadsword,ECraftType::Craft,Broadsword,1,0,0,Florenberg,1,Armas,1,Caradoborg,1,Gieremundfang,1,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
OracleBlade,ECraftType::Craft,OracleBlade,1,0,0,RemoteDart,1,Hihiirokane,1,Gaapwing,2,WindFeathers,2,RemoteDart,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
ValralAltar,ECraftType::Craft,ValralAltar,1,0,0,WalalSoulimo,4,Hihiirokane,1,Gieremundfang,1,SharpRazor,4,ArmsRecipe020,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
Claymore,ECraftType::Craft,Claymore,1,0,0,Bronze,2,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Perex,ECraftType::Craft,Perex,1,0,0,Iron,2,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Flanders,ECraftType::Craft,Flanders,1,0,0,Iron,2,Obsidian,2,None,0,None,0,ArmsRecipe004,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
OutsiderKnightSword,ECraftType::Craft,OutsiderKnightSword,1,0,0,Flanders,1,Steel,1,Obsidian,1,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Valdish,ECraftType::Craft,Valdish,1,0,0,Perex,1,DamascusSteel,1,Silver,1,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Gram,ECraftType::Craft,Gram,1,0,0,Mithril,1,DamascusSteel,1,Silver,1,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Gambanttain,ECraftType::Craft,Gambanttain,1,0,0,Perex,1,MahoganyLumber,1,Platinum,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Lohengrin,ECraftType::Craft,Lohengrin,1,0,0,Gram,1,Clystal,1,Flamering,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Sherdar,ECraftType::Craft,Sherdar,1,0,0,Gram,1,Clystal,1,Icering,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
LightningBolt,ECraftType::Craft,LightningBolt,1,0,0,Gram,1,Clystal,1,Thunderring,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Karadanda,ECraftType::Craft,Karadanda,1,0,0,Gambanttain,1,MahoganyLumber,1,Gold,1,None,0,ArmsRecipe007,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Durandal,ECraftType::Craft,Durandal,1,0,0,Lohengrin,1,Sherdar,1,LightningBolt,1,None,0,ArmsRecipe019,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
