Key,Value/CheatCode,Value/CheatEffect,Value/Option1,Value/Option2
Code00,BIGHEAD,EPBCheatCommandType::BigHead,,200
Code01,TINYHEAD,EPBCheatCommandType::BigHead,,50
NIGHTMARE,NIGHTMARE,EPBCheatCommandType::NIGHTMARE,,0
TheSpeedGamers,THESPEEDGAMERS,EPBCheatCommandType::AddItem,ClockSowrd,1
TheSpeedGamers,TheSpeedGamers,EPBCheatCommandType::AddItem,ClockSowrd,1
StephenPlays,STEPHENPLAYS,EPBCheatCommandType::AddItem,LoveOfPizza,1
ProtonJon,EGGFARM,EPBCheatCommandType::AddItem,HumptyDumpty,1
NintendoCapriSun,INTHEBATHROOM,EPBCheatCommandType::AddItem,LoveOfBenki,1
Chuggaaconroy,CHUGGAACONROY,EPBCheatCommandType::AddItem,Plan9FOSpace,1
Chuggaaconroy,chuggaaconroy,EPBCheatCommandType::AddItem,Plan9FOSpace,1
VideoGamesAWESOME!,AWESOMEVIDEOGAMES,EPBCheatCommandType::AddItem,BigMustache,1
JoshJepson,JEPSON,EPBCheatCommandType::AddItem,KongSword,1
SwimmingBird941,SWIMMINGBIRD,EPBCheatCommandType::AddItem,PlagueDoctorFace,1
SwimmingBird941,swimmingbird,EPBCheatCommandType::AddItem,PlagueDoctorFace,1
Mega64,JARVIS MEOWER,EPBCheatCommandType::AddItem,Mega64Head,1
Mega64,Jarvis Meower,EPBCheatCommandType::AddItem,Mega64Head,1
Egoraptor,HEYIMGRUMP,EPBCheatCommandType::AddItem,HeyIâ€™mGrump,1
Egoraptor,Egoraptor,EPBCheatCommandType::AddItem,HeyIâ€™mGrump,1
GameGrumps,NOTSOGRUMP,EPBCheatCommandType::AddItem,Iâ€™mNotSoGrump,1
GameGrumps,Grumps,EPBCheatCommandType::AddItem,Iâ€™mNotSoGrump,1
KindaFunnyGames,TEAMFAT,EPBCheatCommandType::AddItem,AKindaFunnyMask,1
TheSw1tcher,BULLFIGHTER,EPBCheatCommandType::AddItem,The-BazMask,1
Vinesauce,SPONGYVINE,EPBCheatCommandType::AddItem,SwordOfTheMushroom,1
GameSack,8MEGAPOWER,EPBCheatCommandType::AddItem,PowerSword,1
AlphaOmegaSin,ALPHAOMEGASIN,EPBCheatCommandType::AddItem,SilverAndBlackSword,1
DungeonClan,DUNGEONITE,EPBCheatCommandType::AddItem,DungeonNightSword,1
OperationAkumaclan,AKUMA,EPBCheatCommandType::AddItem,EvilTheSword,1
OperationAkumaclan,Akuma,EPBCheatCommandType::AddItem,EvilTheSword,1
WarhorsesKeyRevenant,6666,EPBCheatCommandType::AddItem,Keyofbacker2,1
Shortcuts,ADAPTABLE,EPBCheatCommandType::AddItem,Shortcut,7
InfiniteAmmo,BANDANA,EPBCheatCommandType::AddItem,Recyclehat,1
ShardDropRing,BEATTHEGRIND,EPBCheatCommandType::AddItem,RingofSolomon,2
ZoomOutHeadgear,BIRDSEYE,EPBCheatCommandType::AddItem,Horuseyes,1
Accelerator,BLUEBLUR,EPBCheatCommandType::AddItem,Accelerator,1
Bunnymorphosis,BUNNY,EPBCheatCommandType::AddItem,ChangeBunny,5
PilotCard,BIZSAVVY,EPBCheatCommandType::AddItem,DiscountCard,1
Pizza,COWABUNGA,EPBCheatCommandType::AddItem,Pizza,24
RhavaBural,CRISSAEGRIM,EPBCheatCommandType::AddItem,WalalSoulimo,1
SpeedBelt,FASTER,EPBCheatCommandType::AddItem,Speedstar,1
FireFlower,FIREFLOWER,EPBCheatCommandType::AddItem,EightBitFire,1
RiskRing,GLASSCANNON,EPBCheatCommandType::AddItem,Riskring,2
DetectiveEye,ICANSEEFOREVER,EPBCheatCommandType::AddItem,Detectiveeye,3
8bitCoins,INDECISIVE,EPBCheatCommandType::AddItem,8BitCoin,20
ShovelKnightArmor,LEGENDARYHERO,EPBCheatCommandType::AddItem,Shovelarmorsarmor,1
