Key,Value/DialogueText/Hash,Value/DialogueText/Text,Value/DialogueAudioID,Value/JPLipRef/Package,Value/JPLipRef/Path,Value/ENLipRef/Package,Value/ENLipRef/Path
Event_01_001,4C6A6637411B78597C4134B3F42CD103,Johannes... Are you certain it was—,None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_001_LIP.jp_Event_01_001_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_001_LIP.en_Event_01_001_LIP,
Event_01_002,4C0B075243A6C25109A46E9C25FCFB99,"It was Gebel's doing, Miriam. No mistake.",None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_002_LIP.jp_Event_01_002_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_002_LIP.en_Event_01_002_LIP,
Event_01_003,40B921BB40EA8AEC6542C6A55D60ADBF,It's so hard to believe. I wouldn't even be alive if not for him. He's a good soul.,None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_003_LIP.jp_Event_01_003_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_003_LIP.en_Event_01_003_LIP,
Event_01_004,AD04B8A742B4030A61F17A8AC6C11B2A,I know. I know how you feel. But the facts are apparent. ,None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_004_LIP.jp_Event_01_004_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_004_LIP.en_Event_01_004_LIP,
Event_01_005,1F9C59A04A237BD2A75949A6CDBE17C6,And the hell he endured ten years ago would break the best of souls.,None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_005_LIP.jp_Event_01_005_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_005_LIP.en_Event_01_005_LIP,
Event_01_006,214373654F01E197D798909E7B96C6E3,"Miriam, I want you to know that I'm sorry. What my brothers subjected you to... There's no forgiving it.",None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_006_LIP.jp_Event_01_006_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_006_LIP.en_Event_01_006_LIP,
Event_01_007,9934D79244DE6B295CC65D9BE261C963,"It was their transgression, not yours. You... You always took care of us.",None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_007_LIP.jp_Event_01_007_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_007_LIP.en_Event_01_007_LIP,
Event_01_008,F04F07D4478E35AC0D8E149B10484D66,Obviously not enough.,None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_008_LIP.jp_Event_01_008_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_008_LIP.en_Event_01_008_LIP,
Event_01_009,B2361FA4481DB2457F05B182BA923EAF,"Well... let it go, Johannes. We need to focus on the task ahead.",None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_009_LIP.jp_Event_01_009_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_009_LIP.en_Event_01_009_LIP,
Event_01_010,4D3F581943E1FAB32C77A4BB04BAF0B2,"If Gebel is responsible for the summoning, then I have to stop him. I gave him my word.",None,/Game/Core/UI/Dialog/Data/LipSync/jp_Event_01_010_LIP.jp_Event_01_010_LIP,,/Game/Core/UI/Dialog/Data/LipSync/en_Event_01_010_LIP.en_Event_01_010_LIP,
